time,user_id,action_type,client_platform
2022-06-01 10:04:33,237,start_video,web
2022-06-01 03:33:00,693,call,android
2022-06-01 23:40:39,713,send_msg,android
2022-06-01 21:12:49,512,send_msg,android
2022-06-01 12:55:32,328,start_video,web
2022-06-01 08:07:02,345,create_post,android
2022-06-01 21:09:34,500,create_post,android
2022-06-01 19:50:27,721,start_video,ios
2022-06-01 13:32:42,959,start_video,ios
2022-06-01 08:43:30,597,send_msg,web
2022-06-01 11:57:33,357,start_video,ios
2022-06-01 08:07:47,967,start_video,web
2022-06-01 10:34:55,104,send_msg,android
2022-06-01 18:41:24,420,call,ios
2022-06-01 18:17:33,384,create_post,ios
2022-06-01 09:09:08,23,start_video,web
2022-06-01 09:36:13,183,send_msg,ios
2022-06-01 02:18:31,721,start_video,android
2022-06-01 11:48:47,899,call,android
2022-06-01 12:40:53,136,start_video,android
2022-06-01 09:38:02,797,create_post,ios
2022-06-01 20:43:55,839,send_msg,ios
2022-06-01 22:55:33,652,start_video,android
2022-06-01 16:42:05,35,send_msg,android
2022-06-01 20:15:30,659,call,ios
2022-06-01 09:22:42,279,send_msg,web
2022-06-01 16:32:47,620,call,web
2022-06-01 23:50:47,553,start_video,web
2022-06-01 20:32:27,11,call,web
2022-06-01 01:22:18,537,start_video,android
2022-06-01 00:50:07,841,start_video,android
2022-06-01 04:59:06,200,send_msg,web
2022-06-01 20:45:34,795,call,web
2022-06-01 10:10:04,887,send_msg,android
2022-06-01 10:30:27,677,create_post,web
2022-06-01 08:59:42,513,create_post,android
2022-06-01 17:44:54,176,start_video,android
2022-06-01 12:28:14,659,create_post,web
2022-06-01 08:10:43,672,send_msg,android
2022-06-01 15:40:26,25,create_post,android
2022-06-01 19:10:22,244,call,web
2022-06-01 00:08:33,365,send_msg,ios
2022-06-01 22:37:28,397,create_post,web
2022-06-01 17:08:40,937,create_post,android
2022-06-01 04:51:07,621,send_msg,ios
2022-06-01 09:24:04,541,create_post,android
2022-06-01 15:40:29,320,start_video,web
2022-06-01 22:24:55,964,call,ios
2022-06-01 10:46:23,867,send_msg,ios
2022-06-01 14:04:25,465,call,web
2022-06-01 12:10:12,340,create_post,android
2022-06-01 14:12:07,408,send_msg,ios
2022-06-01 06:50:36,148,create_post,android
2022-06-01 14:52:31,182,start_video,web
2022-06-01 20:44:49,680,send_msg,web
2022-06-01 23:35:02,332,call,ios
2022-06-01 07:03:04,109,create_post,ios
2022-06-01 13:10:13,384,start_video,android
2022-06-01 19:57:40,459,create_post,android
2022-06-01 09:10:46,841,call,android
2022-06-01 13:26:45,139,send_msg,ios
2022-06-01 00:00:47,950,send_msg,web
